Date,Date,Open,High,Low,Close,Volume,Volume (Currency),Weighted Price
2018-02-13,2018-02-13,8897.6,8933.7,8385.0,8517.7,6411.5345649,55247585.279536,8616.905160582
2018-02-14,2018-02-14,8520.0,9520.6,8519.4,9489.7,7551.99653765,68853815.585675,9117.2996759743
2018-02-15,2018-02-15,9475.7,10247.0,9330.1,10037.0,9682.24238483,95449259.845221,9858.1770680281
2018-02-16,2018-02-16,10044.4,10325.1,9689.0,10188.5,6618.31856667,66420719.76387,10035.890399469
2018-02-17,2018-02-17,10188.5,11131.9,10056.7,11100.0,7380.93784998,78992275.878979,10702.20038219
2018-02-18,2018-02-18,11100.0,11308.8,10205.0,10430.0,9183.53515963,98755735.465444,10753.564259172
2018-02-19,2018-02-19,10430.0,11269.5,10371.0,11165.1,5688.90126809,62236161.13608,10939.926394078
2018-02-20,2018-02-20,11165.1,11790.1,11078.0,11242.3,9323.94347869,107072773.89205,11483.636096333
2018-02-21,2018-02-21,11231.2,11300.0,10236.2,10468.1,14340.49616908,154231454.71151,10754.959444434
2018-02-22,2018-02-22,10477.2,10976.0,9712.0,9840.2,13980.69425784,142818671.95599,10215.420587994
2018-02-23,2018-02-23,9842.0,10438.6,9550.9,10157.7,11254.28134104,112491758.07733,9995.4634746086
2018-02-24,2018-02-24,10147.9,10578.7,9363.0,9688.0,9604.01859406,95059134.2153,9897.8498723538
2018-02-25,2018-02-25,9688.0,9887.1,9310.1,9580.0,7456.22581474,71341421.990131,9568.0339843113
2018-02-26,2018-02-26,9580.0,10471.0,9386.7,10322.1,9117.0625545,91122333.701265,9994.7031356376
2018-02-27,2018-02-27,10326.8,10878.9,10123.7,10551.0,7361.21438057,77949489.753826,10589.21608907
2018-02-28,2018-02-28,10569.0,11081.4,10260.1,10310.0,8552.47780571,90789580.657624,10615.587987496
2018-03-01,2018-03-01,10309.0,11079.3,10130.0,10920.0,7852.27407536,83796751.673591,10671.653952648
2018-03-02,2018-03-02,10920.0,11190.0,10778.8,11031.3,5738.53135619,62992248.396471,10977.067909287
2018-03-03,2018-03-03,11031.3,11528.9,11031.3,11428.0,4944.44780197,56156759.213319,11357.53909485
2018-03-04,2018-03-04,11429.9,11539.0,11062.1,11512.1,4149.25347994,46719106.313427,11259.641412436
2018-03-05,2018-03-05,11503.1,11666.4,11400.8,11433.9,4954.25260616,57107967.834651,11527.060159113
2018-03-06,2018-03-06,11432.9,11438.0,10550.1,10731.5,10018.32245753,109673449.60443,10947.286840622
2018-03-07,2018-03-07,10718.4,10899.0,9388.1,9903.0,14472.60115717,146553555.52185,10126.276122053
2018-03-08,2018-03-08,9903.0,10120.7,9000.0,9279.9,11725.82958676,112306657.36264,9577.7152935475
2018-03-09,2018-03-09,9290.1,9427.9,8400.0,9244.5,19451.81845846,172862324.41608,8886.6922537466
2018-03-10,2018-03-10,9224.5,9515.2,8653.0,8752.0,11013.35144042,100791274.8313,9151.735089592
2018-03-11,2018-03-11,8762.3,9745.0,8434.1,9526.2,13887.8296224,126242443.58512,9090.1492182405
2018-03-12,2018-03-12,9533.7,9899.9,8755.0,9102.8,13106.41419373,122237778.25126,9326.5615174695
2018-03-13,2018-03-13,9109.9,9477.0,8812.5,9141.3,11066.15926846,101149409.20296,9140.4259372308
2018-03-14,2018-03-14,9141.2,9370.9,7900.0,8174.2,16372.07815925,139849590.07499,8541.9571489141
2018-03-15,2018-03-15,8175.9,8425.0,7621.4,8248.6,17259.23084809,139052525.66295,8056.704663542
2018-03-16,2018-03-16,8244.9,8615.0,7859.4,8251.0,11977.77050757,99214341.791834,8283.2061049367
2018-03-17,2018-03-17,8260.0,8340.0,7700.0,7843.4,11663.48026867,93482297.349629,8014.9573880395
2018-03-18,2018-03-18,7839.1,8249.1,7305.0,8183.2,18593.94738484,142241479.55847,7649.880717337
2018-03-19,2018-03-19,8183.2,8780.0,8064.0,8610.2,15090.74484515,126113987.4275,8357.0419301095
2018-03-20,2018-03-20,8600.0,9037.0,8305.2,8912.0,12610.92215199,109314525.25176,8668.2420154745
2018-03-21,2018-03-21,8911.9,9189.8,8750.0,8880.0,10571.30464218,94633137.381419,8951.8882091268
2018-03-22,2018-03-22,8879.0,9116.2,8487.0,8711.5,9985.44564072,87446573.869912,8757.4032262828
2018-03-23,2018-03-23,8710.0,8934.9,8265.0,8916.8,9577.16553937,81623202.37558,8522.6888937068
2018-03-24,2018-03-24,8917.4,9030.0,8480.0,8530.0,6878.03156606,60619577.015128,8813.5066599953
2018-03-25,2018-03-25,8532.7,8678.0,8368.8,8444.4,6076.19576525,51768889.310906,8519.9508559244
2018-03-26,2018-03-26,8453.5,8499.7,7850.0,8137.8,10150.47150298,82588565.160896,8136.4264838978
2018-03-27,2018-03-27,8137.8,8230.0,7708.6,7786.7,10179.27672891,80878989.051262,7945.4553801018
2018-03-28,2018-03-28,7786.7,8114.5,7728.3,7943.3,6642.37138266,52597764.224991,7918.5220450483
2018-03-29,2018-03-29,7935.0,7975.0,6900.0,7080.1,20895.70910605,154035688.88329,7371.6420965435
2018-03-30,2018-03-30,7084.8,7244.0,6550.0,6804.0,20857.68328036,142995106.37664,6855.7521204328
